Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-1000,2023-10-17,2023-10-23,Standard Class,CG-87397,Customer 217,Consumer,United States,City 5,Illinois,Central,TEC-1488,Technology,Phones,Phones Product 12,599.34,3,0.0,85.76
US-1001,2022-08-12,2022-08-14,Same Day,CG-87236,Customer 143,Home Office,United States,City 1,Washington,West,TEC-3615,Technology,Accessories,Accessories Product 90,629.54,9,0.2,142.37
US-1002,2023-03-09,2023-03-13,Standard Class,CG-57052,Customer 434,Corporate,United States,City 45,Florida,East,TEC-5333,Furniture,Tables,Tables Product 6,264.88,2,0.0,18.71
US-1003,2023-04-16,2023-04-23,First Class,CG-85674,Customer 99,Home Office,United States,City 91,Georgia,South,TEC-2139,Office Supplies,Paper,Paper Product 6,178.96,5,0.25,29.72
US-1004,2023-11-09,2023-11-13,First Class,CG-31319,Customer 190,Consumer,United States,City 46,Washington,West,TEC-4432,Technology,Computers,Computers Product 86,406.11,7,0.15,71.93
US-1005,2022-10-01,2022-10-05,Same Day,CG-45382,Customer 474,Home Office,United States,City 82,Washington,West,TEC-4598,Office Supplies,Art,Art Product 88,76.83,4,0.1,7.07
US-1006,2022-11-29,2022-12-01,First Class,CG-37869,Customer 336,Corporate,United States,City 64,Oregon,West,TEC-7482,Technology,Phones,Phones Product 83,548.39,5,0.0,29.8
US-1007,2023-04-15,2023-04-18,Same Day,CG-86484,Customer 205,Home Office,United States,City 47,Florida,East,TEC-4593,Technology,Computers,Computers Product 18,155.02,9,0.25,18.89
US-1008,2023-06-06,2023-06-11,Standard Class,CG-60432,Customer 196,Consumer,United States,City 77,California,West,TEC-8668,Furniture,Chairs,Chairs Product 68,148.08,3,0.2,13.71
US-1009,2022-09-15,2022-09-18,Same Day,CG-30730,Customer 233,Home Office,United States,City 1,Oregon,West,TEC-5315,Office Supplies,Paper,Paper Product 65,54.6,6,0.0,1.93
US-1010,2022-07-02,2022-07-07,Standard Class,CG-88504,Customer 166,Consumer,United States,City 63,Illinois,Central,TEC-1319,Office Supplies,Paper,Paper Product 15,173.28,6,0.1,18.45
US-1011,2023-01-07,2023-01-13,Same Day,CG-19071,Customer 390,Home Office,United States,City 69,Washington,West,TEC-3060,Furniture,Chairs,Chairs Product 17,310.13,2,0.0,7.14
US-1012,2023-11-07,2023-11-09,Second Class,CG-50857,Customer 205,Home Office,United States,City 86,Pennsylvania,East,TEC-7118,Furniture,Bookcases,Bookcases Product 57,218.34,10,0.2,18.44
US-1013,2023-06-14,2023-06-19,Second Class,CG-87128,Customer 113,Consumer,United States,City 1,Florida,East,TEC-2163,Furniture,Chairs,Chairs Product 91,127.35,6,0.0,12.1
US-1014,2023-10-09,2023-10-11,First Class,CG-97684,Customer 249,Corporate,United States,City 28,California,West,TEC-9834,Technology,Phones,Phones Product 17,379.87,2,0.25,51.44
US-1015,2023-08-08,2023-08-09,Same Day,CG-56438,Customer 217,Corporate,United States,City 53,Virginia,East,TEC-8651,Office Supplies,Binders,Binders Product 94,69.91,4,0.0,16.16
US-1016,2022-02-25,2022-02-27,Second Class,CG-34931,Customer 275,Corporate,United States,City 58,California,West,TEC-3296,Office Supplies,Art,Art Product 55,99.33,6,0.0,5.62
US-1017,2022-07-07,2022-07-08,Standard Class,CG-22224,Customer 475,Corporate,United States,City 97,New York,East,TEC-4872,Furniture,Tables,Tables Product 22,423.38,9,0.0,13.2
US-1018,2023-02-21,2023-02-22,Same Day,CG-44760,Customer 475,Consumer,United States,City 59,Virginia,East,TEC-5673,Furniture,Tables,Tables Product 55,331.33,3,0.2,0.53
US-1019,2023-12-15,2023-12-16,Standard Class,CG-51104,Customer 30,Consumer,United States,City 7,North Carolina,South,TEC-8811,Office Supplies,Art,Art Product 65,33.59,5,0.1,4.43
US-1020,2023-06-28,2023-07-04,Second Class,CG-62923,Customer 62,Consumer,United States,City 73,Washington,West,TEC-5033,Technology,Phones,Phones Product 75,647.69,10,0.0,102.7
US-1021,2023-09-01,2023-09-06,First Class,CG-44179,Customer 105,Home Office,United States,City 86,Nevada,West,TEC-6147,Technology,Accessories,Accessories Product 31,476.87,10,0.25,64.35
US-1022,2022-09-29,2022-10-03,Standard Class,CG-19602,Customer 276,Corporate,United States,City 28,Michigan,Central,TEC-9288,Furniture,Chairs,Chairs Product 34,78.22,2,0.0,4.01
US-1023,2022-05-16,2022-05-23,First Class,CG-90173,Customer 414,Corporate,United States,City 84,Pennsylvania,East,TEC-9666,Furniture,Chairs,Chairs Product 2,230.9,3,0.2,28.24
US-1024,2023-11-15,2023-11-21,Second Class,CG-45697,Customer 145,Corporate,United States,City 78,Washington,West,TEC-4450,Office Supplies,Binders,Binders Product 92,117.18,2,0.0,1.67
US-1025,2022-12-18,2022-12-24,Same Day,CG-46265,Customer 23,Corporate,United States,City 1,Michigan,Central,TEC-6464,Technology,Accessories,Accessories Product 99,564.82,1,0.0,73.85
US-1026,2022-05-14,2022-05-15,Standard Class,CG-19862,Customer 484,Home Office,United States,City 89,Virginia,East,TEC-3442,Office Supplies,Binders,Binders Product 70,66.15,7,0.25,10.37
US-1027,2022-02-06,2022-02-09,Standard Class,CG-56898,Customer 108,Consumer,United States,City 88,Virginia,East,TEC-5088,Furniture,Bookcases,Bookcases Product 86,454.65,1,0.15,53.31
US-1028,2022-04-16,2022-04-20,Standard Class,CG-33509,Customer 378,Consumer,United States,City 43,North Carolina,South,TEC-7745,Furniture,Bookcases,Bookcases Product 86,174.12,3,0.1,11.78
